Column1,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,from_CSD,public,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,cluster_assignment
2471,FASGIS_freeONLY,5.11529,3.78202,5.11153,1.92528,377.737,196.198,183.317,95.2157,0.4584,0.238095,0.0,"Tb,Co",Yes,"Tb,Co",freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2539,FECWOB01_freeONLY,4.17085,3.04516,4.16284,1.57834,0.0,0.0,480.944,304.714,0.4434,0.280927,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2546,FECZAQ_manual,8.47974,5.36674,8.47974,0.984083,2012.57,2045.13,0.0,0.0,0.6646,0.67535,0.0,Zn,No,,manual,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2586,FESTUT_freeONLY,4.58957,3.56818,4.49102,1.91412,810.164,423.257,0.0,0.0,0.5446,0.284517,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2604,FEWXAI_freeONLY,17.74029,8.00627,14.28683,0.479961,2201.19,4586.18,0.0,0.0,0.8068,1.68097,0.0,Fe,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2606,FEWXIQ_freeONLY,17.35042,7.46306,17.20636,0.482905,2259.15,4678.25,0.0,0.0,0.7942,1.64463,0.0,Fe,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2612,FEYJOJ_freeONLY,4.83071,2.42861,4.81182,1.25111,0.0,0.0,695.859,556.192,0.4792,0.383018,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2617,FEZCIX_freeONLY,9.87905,6.13901,9.87905,1.05939,3096.5,2922.91,0.0,0.0,0.8222,0.776107,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2652,FIHRIZ_freeONLY,6.70189,5.92513,6.34809,1.0601,1583.25,1493.5,0.0,0.0,0.594,0.560326,0.0,Ni,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2660,FIJREW_freeONLY,4.48694,2.55266,4.48694,1.60428,0.0,0.0,416.439,259.579,0.428,0.266786,0.000249332,Ag,Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2698,FITHAS_charged,5.29108,3.3005,5.28106,1.25261,0.0,0.0,973.075,776.838,0.5032,0.401721,0.0,Sc,No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2704,FIVQIL_freeONLY,5.07777,2.82087,4.97197,1.95561,0.0,0.0,649.857,332.303,0.4254,0.217527,0.0,Sc,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2724,FODCEI_freeONLY,4.06765,2.57487,4.06765,1.45796,0.0,0.0,83.7538,57.4458,0.387,0.265439,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2728,FODYUT_freeONLY,4.86672,3.16405,4.70139,1.91946,0.0,0.0,732.512,381.624,0.5282,0.275182,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2768,FOQSUA_charged,3.4397,3.07965,3.4397,1.66932,0.0,0.0,4.37241,2.61928,0.4246,0.254356,0.0,Cu,No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2786,FOSTOY_freeONLY,11.96802,7.0236,11.96802,0.654669,2141.84,3271.64,0.0,0.0,0.7566,1.1557,0.0,In,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2787,FOSTUE_freeONLY,13.09568,7.43748,13.09568,0.582855,2174.14,3730.15,0.0,0.0,0.7556,1.29638,0.0,In,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2811,FUFTUX_freeONLY,4.85449,2.47395,4.78049,1.36469,0.0,0.0,208.082,152.475,0.3826,0.280356,0.0,"Co,Na",No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2857,FUTJOV_freeONLY,4.42962,3.12648,4.4266,1.74626,0.0,0.0,484.939,277.702,0.5122,0.293313,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2868,FUTZOL_freeONLY,9.30232,6.36524,9.14367,0.891296,2041.5,2290.48,0.0,0.0,0.6794,0.762261,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2892,FUWQIZ_freeONLY,9.41411,4.56532,9.41411,0.861245,2472.88,2871.29,0.0,0.0,0.6712,0.779337,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2907,GABGOI_freeONLY,6.19829,3.31833,6.1896,1.16905,1025.05,876.825,79.2829,67.8181,0.5256,0.449596,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2909,GACBIY_freeONLY,6.86373,4.04314,6.79883,0.980653,1900.83,1938.33,0.120412,0.122788,0.6408,0.653442,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2924,GAFROX_freeONLY,8.04424,5.80897,8.04424,0.809918,2610.37,3223.0,0.0,0.0,0.7058,0.871446,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2928,GAGTEQ_freeONLY,4.84559,2.57096,4.05916,1.85,0.0,0.0,539.762,291.763,0.4452,0.240649,0.0,Th,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2929,GAGXAP_freeONLY,3.94243,2.51248,3.79334,1.56507,0.0,0.0,305.995,195.515,0.443,0.283054,0.0,Ni,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2933,GAHWIX_freeONLY,10.08038,7.02669,9.8393,0.60655,2546.38,4198.13,0.0,0.0,0.7646,1.26057,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
2944,GAKTET_freeONLY,4.25974,3.36532,4.21424,1.27924,554.179,433.21,0.407075,0.318216,0.4394,0.343485,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3004,GAXDIS10_freeONLY,5.63603,3.80534,5.63603,1.31969,1996.73,1513.03,0.0,0.0,0.6636,0.502846,0.0,Cd,Yes,Cd,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3028,GECRAI_charged,3.60124,2.59232,3.60124,1.90766,0.0,0.0,53.4388,28.0127,0.3438,0.180221,0.0,V,Yes,V,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3045,GEDSUF_freeONLY,6.03936,4.02319,5.59109,1.24411,1288.15,1035.4,0.0,0.0,0.545,0.438065,0.0,Nd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3050,GEGBEB_freeONLY,4.72277,2.87447,4.48469,1.2393,0.0,0.0,646.831,521.932,0.517,0.417171,0.0,"Ag,Eu",Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3051,GEGBOL_freeONLY,4.71731,2.89405,4.35449,1.23961,0.0,0.0,645.87,521.026,0.5178,0.417711,0.0,"Gd,Ag",Yes,Ag,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3066,GERWIL_charged,4.68243,2.43038,4.67296,1.23256,0.0,0.0,503.954,408.867,0.4944,0.401116,0.0,"Zn,Si",No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3067,GERWOR_charged,4.97116,3.27603,4.88417,1.15577,0.0,0.0,885.866,766.47,0.538,0.465489,0.0,"Si,Cd",No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3080,GEZFIC_charged,4.12718,3.16539,4.09883,1.23461,0.0,0.0,460.332,372.856,0.47,0.380687,0.0,Zn,No,,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3135,GISMIG_freeONLY,4.0304,2.93362,4.0304,1.49375,0.0,0.0,163.882,109.711,0.4292,0.28733,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3156,GITZAM_freeONLY,3.82434,2.6197,3.81833,1.41655,0.0,0.0,60.354,42.6062,0.4108,0.289999,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3162,GIWBIY_charged,6.45593,4.24018,6.45593,1.07571,1743.16,1620.48,0.0,0.0,0.587,0.545689,0.0,"In,Ag",Yes,Ag,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3163,GIWBOE_charged,6.1387,4.01365,6.12781,1.1355,1474.09,1298.19,0.0,0.0,0.537,0.472918,0.0,"Ga,Ag",Yes,Ag,charged,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3165,GIWCIZ_ion_b,5.12494,3.68789,4.86231,1.25758,738.946,587.595,101.966,81.0816,0.492,0.391229,0.0,"Ga,Ag",Yes,Ag,ion_b,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3185,GIZJOP_freeONLY,5.3179,2.78115,5.29436,1.18697,0.0,0.0,761.964,641.941,0.5948,0.501109,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3188,GIZXET_freeONLY,4.75858,3.81827,4.66708,0.984908,1381.16,1402.32,0.0,0.0,0.5818,0.590715,0.0,Zn,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3194,GOGSIF_freeONLY,5.27269,3.30295,4.97378,1.13819,0.0,0.0,505.229,443.889,0.5052,0.443864,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3223,GOSDID_freeONLY,6.89907,4.03109,6.89581,1.09194,1416.77,1297.48,0.0,0.0,0.5544,0.507721,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3249,GUBBAG_freeONLY,6.17269,4.47662,6.08707,1.25773,1876.67,1492.11,0.0,0.0,0.6658,0.529365,0.0,Cd,Yes,Cd,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3261,GUFREF_freeONLY,4.21553,3.44252,4.2138,1.21319,638.089,525.958,0.0,0.0,0.4724,0.389386,0.0,Cd,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3283,GULPIN_freeONLY,4.25802,3.49743,4.22359,1.39734,591.978,423.648,0.0,0.0,0.4574,0.327337,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3333,GUXJUF_freeONLY,4.84037,3.9654,4.82716,1.41449,886.753,626.908,0.0,0.0,0.4542,0.321106,0.0,Cu,Yes,Cu,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3344,GUYBAE_freeONLY,4.94886,3.45552,4.94886,2.55332,865.234,338.866,0.0,0.0,0.4892,0.191594,0.0,U,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3360,HACDOH_freeONLY,11.09643,3.77101,11.09643,1.1212,1595.24,1422.79,0.0,0.0,0.6134,0.547091,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3361,HACDUN_freeONLY,11.06812,3.7276,11.06812,1.21046,1575.96,1301.95,0.0,0.0,0.6108,0.504603,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3363,HACRAH_freeONLY,10.70695,3.98119,10.7068,1.08072,1943.74,1798.55,0.0,0.0,0.6278,0.580906,0.0,Co,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3364,HACREL_freeONLY,10.63772,3.92828,9.71842,1.11327,1802.59,1619.18,0.0,0.0,0.628,0.564102,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3373,HADPOU_freeONLY,4.62887,4.08311,4.62887,1.93861,903.412,466.011,0.0,0.0,0.5016,0.258742,0.0,"Pt,Fe",Yes,Pt,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3404,HAJMIQ_freeONLY,11.09978,5.27401,11.09813,0.942486,2224.19,2359.92,0.0,0.0,0.6854,0.727226,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3418,HALQUJ_freeONLY,5.83271,4.11171,5.82021,0.775057,2252.16,2905.8,0.0,0.0,0.6658,0.859034,0.0,Cu,No,,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
3421,HAMJUC_freeONLY,10.68848,3.93393,10.67739,1.13553,1897.49,1671.02,0.0,0.0,0.6192,0.545297,0.0,Zn,Yes,Zn,freeONLY,Y,Y,,,,,,,,,,,,,,,,,,,,,,4
